Property Address,City,State,Zip,For Sale Price,Land Area (AC),Latitude,Longitude,Zoning,County Name,Proposed Land Use,Owner Name,Sale Company Name,Sale Company Contact,Sale Company Phone,Sale Company Fax,Last Sale Date,Last Sale Price,In SFHA,Fema Flood Zone,FEMA Map Date,Floodplain Area,% Pop Grwth 2020-2024(5m),% Pop Grwth 2024-2029(5m),% Pop Grwth 2020-2024(10m),% Pop Grwth 2024-2029(10m),2000 Population(3m),2020 Population(3m),2024 Population(3m),2029 Population(3m),2000 Population(5m),2020 Population(5m),2024 Population(5m),2029 Population(5m),2000 Population(10m),2020 Population(10m),2024 Population(10m),2029 Population(10m),2020 Med HH Inc(3m),2024 Avg HH Inc(3m),2024 Med HH Inc(3m),2029 Avg HH Inc(3m),2029 Med HH Inc(3m),2020 Med HH Inc(5m),2024 Avg HH Inc(5m),2024 Med HH Inc(5m),2029 Avg HH Inc(5m),2029 Med HH Inc(5m),2020 Med HH Inc(10m),2024 Avg HH Inc(10m),2024 Med HH Inc(10m),2029 Avg HH Inc(10m),2029 Med HH Inc(10m),"2024 Home Value $1,000,000+(3m)","2024 Home Value $100,000-200,000(3m)","2024 Home Value $200,000-300,000(3m)","2024 Home Value $300,000-400,000(3m)","2024 Home Value $400,000-500,000(3m)","2024 Home Value $500,000-1,000,000(3m)","2024 Home Value <100,000(3m)","2029 Home Value $1,000,000+(3m)","2029 Home Value $100,000-200,000(3m)","2029 Home Value $200,000-300,000(3m)","2029 Home Value $300,000-400,000(3m)","2029 Home Value $400,000-500,000(3m)","2029 Home Value $500,000-1,000,000(3m)","2029 Home Value <100,000(3m)",2024 Median Home Value(3m),2029 Median HH Value(3m),"2024 Home Value $1,000,000+(5m)","2024 Home Value $100,000-200,000(5m)","2024 Home Value $200,000-300,000(5m)","2024 Home Value $300,000-400,000(5m)","2024 Home Value $400,000-500,000(5m)","2024 Home Value $500,000-1,000,000(5m)","2024 Home Value <100,000(5m)","2029 Home Value $1,000,000+(5m)","2029 Home Value $100,000-200,000(5m)","2029 Home Value $200,000-300,000(5m)","2029 Home Value $300,000-400,000(5m)","2029 Home Value $400,000-500,000(5m)","2029 Home Value $500,000-1,000,000(5m)","2029 Home Value <100,000(5m)",2024 Median Home Value(5m),2029 Median HH Value(5m),"2024 Home Value $1,000,000+(10m)","2024 Home Value $100,000-200,000(10m)","2024 Home Value $200,000-300,000(10m)","2024 Home Value $300,000-400,000(10m)","2024 Home Value $400,000-500,000(10m)","2024 Home Value $500,000-1,000,000(10m)","2024 Home Value <100,000(10m)","2029 Home Value $1,000,000+(10m)","2029 Home Value $100,000-200,000(10m)","2029 Home Value $200,000-300,000(10m)","2029 Home Value $300,000-400,000(10m)","2029 Home Value $400,000-500,000(10m)","2029 Home Value $500,000-1,000,000(10m)","2029 Home Value <100,000(10m)",2024 Median Home Value(10m),2029 Median HH Value(10m),% HU Grwth 2020-2024(3m),% HU Grwth 2020-2024(5m),% HU Grwth 2020-2024(10m),date,Market,TotPop_5,TotPop_10,TotPop_15,TotPop_20,TotPop_25,Age0_4_5,Age0_4_10,Age0_4_15,Age0_4_20,Age0_4_25,Age5_9_5,Age5_9_10,Age5_9_15,Age5_9_20,Age5_9_25,Age10_14_5,Age10_14_10,Age10_14_15,Age10_14_20,Age10_14_25,Age15_19_5,Age15_19_10,Age15_19_15,Age15_19_20,Age15_19_25,TotHUs_5,TotHUs_10,TotHUs_15,TotHUs_20,TotHUs_25,MedianGrossRent_5,MedianGrossRent_10,MedianGrossRent_15,MedianGrossRent_20,MedianGrossRent_25,Age20_24_5,Age20_24_10,Age20_24_15,Age20_24_20,Age20_24_25,Age25_34_5,Age25_34_10,Age25_34_15,Age25_34_20,Age25_34_25,Age35_44_5,Age35_44_10,Age35_44_15,Age35_44_20,Age35_44_25,Age45_54_5,Age45_54_10,Age45_54_15,Age45_54_20,Age45_54_25,Age55_59_5,Age55_59_10,Age55_59_15,Age55_59_20,Age55_59_25,Age60_64_5,Age60_64_10,Age60_64_15,Age60_64_20,Age60_64_25,Age65_74_5,Age65_74_10,Age65_74_15,Age65_74_20,Age65_74_25,Age75_84_5,Age75_84_10,Age75_84_15,Age75_84_20,Age75_84_25,Over85_5,Over85_10,Over85_15,Over85_20,Over85_25,OccHUs_5,OccHUs_10,OccHUs_15,OccHUs_20,OccHUs_25,OwnerOcc_5,OwnerOcc_10,OwnerOcc_15,OwnerOcc_20,OwnerOcc_25,RenterOcc_5,RenterOcc_10,RenterOcc_15,RenterOcc_20,RenterOcc_25,Mobile homes per 1000 HU,AvgGrossRent_5,AvgGrossRent_10,AvgGrossRent_15,AvgGrossRent_20,AvgGrossRent_25,Nearest_Walmart_Address,Nearest_Walmart_Distance_Miles,Nearest_Walmart_Travel_Time_Minutes
County Route 59,Phoenix,NY,13135,2400000.0,305.0,43.2507847,-76.3115493,I,Oswego,Industrial,,"Operation Oswego County, Inc.",Austin Wheelock,3155321277.0,,,,No,"Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",01/01/1900,100-year and 500-year Floodplain,-2.04,-1.26,-2.94,-1.91,6360,5812,5680,5635,17225,17482,17125,16909,110734,117492,114040,111859,69765,79363,66767,76612,64913,78696,92079,72062,88368,69062,72876,93586,71939,92382,70429,7,696,283,140,1,145,407,7,689,279,139,1,145,405,162140,162046,85,2075,1259,662,77,290,920,86,2045,1236,649,75,288,916,185011,184669,262,14516,7520,2861,704,1137,6125,259,14189,7324,2789,686,1120,6038,171903,171636,-2.37,-2.21,-3.18,2025-02-24,Upstate NY,17185.0,117520.0,268812.0,523717.0,605487.0,811.9,6572.5,14446.8,28336.0,32911.5,845.8,6824.1,15457.7,29852.2,34168.0,1278.6,7933.3,17283.8,32332.6,37080.1,927.3,6325.8,14430.5,39419.0,44295.5,7619.0,51785.0,120728.0,236016.0,273546.0,1105.0,1158.0,1105.0,1047.0,1045.0,897.3,6704.4,14733.6,36409.0,40145.3,1638.8,14214.8,33699.9,69286.4,77967.4,1919.7,14953.2,34589.0,61883.2,71666.5,2259.3,15141.4,34083.9,60781.9,71070.8,1905.4,8780.8,19919.1,35331.5,41426.4,1301.4,8925.3,21104.2,37995.9,45002.9,2091.0,13046.6,30166.7,55353.4,65282.1,959.9,5653.2,13106.5,25082.5,30588.2,348.8,2444.5,5790.6,11653.9,13882.1,7211.0,48869.0,113752.0,215550.0,249089.0,5662.0,35187.0,82132.0,140993.0,167481.0,1549.0,13682.0,31619.0,74557.0,81609.0,58.0,1182.0,1170.0,1136.0,1104.0,1105.0,"6438 Basile Rowe, East Syracuse",23.3,25.95
6608 Crosby Rd,Alabama,NY,14013,,310.0,43.0927429,-78.4067356,TD,Genesee,"Commercial, Distribution, Hold for Development, Industrial, Industrial Live/Work Unit, Industrial Park, Master Planned Community, Medical, Mixed Use, Office, Office Park, Open Space, R&D, Retail Warehouse, Warehouse",,Genesee County Economic Development Center,Chris Suozzi,5853434866.0,5853430848.0,,,No,,,,2.84,-0.74,-1.61,-1.5,1282,946,995,992,3400,2751,2829,2808,34661,32730,32202,31719,63088,73525,66021,72750,66400,64149,77923,66609,77869,66947,61674,77846,62408,77784,62060,4,155,45,7,2,5,117,4,155,45,7,2,5,117,132580,132580,6,405,145,28,59,24,289,6,402,144,28,58,24,286,146666,146766,88,3464,1770,820,483,316,3065,86,3407,1749,805,484,317,3011,155946,156310,5.31,2.62,-1.7,2025-02-24,Upstate NY,3017.0,33852.0,131321.0,333193.0,765691.0,105.5,1671.0,5827.9,16542.6,40276.0,176.0,1884.1,7128.5,18276.1,42294.4,246.6,2399.5,8659.0,19815.2,43497.9,206.0,1845.6,6605.3,19248.4,47151.3,1262.0,15207.0,58279.0,146356.0,344271.0,829.0,852.0,895.0,1120.0,1066.0,129.9,1598.8,6608.8,17436.1,49411.2,306.8,4123.2,15564.6,37829.3,101271.5,424.6,3987.8,16211.0,40983.4,92617.2,362.2,4232.6,17104.9,41377.4,89856.4,285.2,2735.6,10596.5,26019.6,56190.1,236.4,2851.5,10384.3,25228.9,54918.3,324.7,4040.0,15955.0,40400.5,86873.4,157.5,1852.7,7385.2,20466.4,42159.5,55.8,629.9,3289.6,9569.1,19173.4,1218.0,14114.0,54708.0,137615.0,323232.0,1028.0,10800.0,41316.0,105733.0,229822.0,190.0,3313.0,13391.0,31883.0,93410.0,77.0,848.0,901.0,957.0,1192.0,1126.0,"5360 Southwestern Blvd, Hamburg",43.9,46.48
2200 Hencle Blvd,Baldwinsville,NY,13027,8000000.0,123.5,43.184868,-76.351201,Industrial,Onondaga,Warehouse,,Cushman & Wakefield | Pyramid Brokerage Company,Christopher Savage,3154451030.0,3154452074.0,,,No,"Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",11/04/2016,100-year and 500-year Floodplain,-2.91,-2.34,-3.11,-2.3,13430,16366,15989,15618,32332,38889,37757,36872,115041,121145,117375,114680,84214,102679,79195,100989,76931,78489,104478,79463,103845,78314,74045,94997,73086,94300,71962,0,1824,1506,562,220,66,299,0,1774,1461,546,214,64,292,207669,207495,37,4133,3066,1491,437,403,1251,37,4017,2980,1447,426,397,1218,200815,200872,283,15771,8382,3044,754,1070,4912,281,15344,8120,2960,737,1051,4815,177331,177156,-1.99,-3.16,-3.27,2025-02-24,Upstate NY,38515.0,121429.0,375171.0,537234.0,639786.0,1923.8,6665.4,20990.0,29292.6,34768.6,2207.4,7193.1,21922.5,30683.8,36176.2,3019.1,7689.2,24749.9,33258.7,39047.2,1992.1,6499.9,24268.3,38475.6,46057.0,16939.0,54195.0,170118.0,241905.0,289232.0,1218.0,1199.0,1055.0,1048.0,1039.0,2025.1,7052.4,22744.4,35385.2,42089.8,4364.4,14526.6,50932.6,70547.2,82106.2,4750.1,15799.2,46627.1,63876.1,76638.6,4710.0,15082.2,44478.6,63103.0,74692.2,3236.5,8923.7,25548.6,36402.3,43674.8,3102.8,9464.4,28250.4,39627.2,47708.1,4507.4,13826.9,39525.1,57624.8,69168.5,1816.1,6181.1,17198.0,26649.1,32820.5,860.2,2525.1,7935.1,12308.6,14837.8,16118.0,51460.0,157443.0,221805.0,263365.0,11419.0,36691.0,101867.0,146906.0,177214.0,4699.0,14769.0,55576.0,74900.0,86152.0,30.0,1237.0,1223.0,1096.0,1106.0,1099.0,"6438 Basile Rowe, East Syracuse",21.35,24.62
1 Horseshoe Blvd,Avon,NY,14414,,82.0,42.9181542,-77.7503514,6,Livingston,Industrial,,Benchmark Realty Advisors,Adam Rooney,5854899512.0,,08/11/2023 00:00:00,,No,,,,-3.8,-1.48,-1.79,-1.26,5623,5285,5100,5029,8654,8202,7890,7773,49460,56056,55052,54361,69681,91992,72072,92408,72697,67172,91368,68605,91642,69007,76001,94850,76586,94601,75857,17,809,371,42,9,17,207,17,796,365,42,9,17,204,165389,165452,23,1212,614,139,14,22,420,23,1191,604,138,14,22,414,166171,166246,155,7369,4617,1418,466,438,1570,155,7259,4544,1400,463,435,1546,187480,187546,-3.84,-4.07,-1.76,2025-02-24,Upstate NY,8259.0,59146.0,175874.0,550095.0,889279.0,383.6,2971.8,8552.5,29108.5,45703.6,324.7,3262.0,9185.2,29647.5,48266.3,507.8,2802.2,8714.3,31876.3,53316.0,499.5,4924.2,15556.0,40775.8,60507.0,3591.0,24714.0,73031.0,247462.0,402029.0,908.0,1120.0,1179.0,1126.0,1122.0,566.6,5678.1,15510.2,41560.3,59713.9,986.5,6510.4,20635.1,77282.0,119682.2,982.9,7016.5,19566.9,66108.7,107538.9,1079.2,6673.0,20368.3,62882.5,105302.3,595.3,4221.2,13010.1,38900.7,62725.5,607.2,4122.8,12237.1,35805.4,61159.8,1121.7,6637.5,19346.4,56045.5,96280.5,443.4,3188.5,9007.9,27468.7,46956.0,160.5,1137.6,4184.4,12632.7,22126.7,3468.0,23001.0,68432.0,228115.0,373863.0,2563.0,16693.0,50786.0,138551.0,242235.0,905.0,6308.0,17646.0,89564.0,131628.0,83.0,1063.0,1180.0,1246.0,1210.0,1197.0,"1200 Marketplace Dr, Rochester",14.82,20.35
4480 Lafayette Rd,Jamesville,NY,13078-9837,3500000.0,84.24,42.986134,-76.125303,C,Onondaga,"Agribusiness, MultiFamily, Single Family Development",,Hospitality Associates,John Christopher,3155691227.0,,,,No,"Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",11/04/2016,100-year and 500-year Floodplain,-0.01,-1.79,-2.11,-2.32,40127,41285,41522,40825,126513,128137,128118,125821,307812,314791,308164,301022,49649,73387,49638,73929,49342,46607,71331,46789,71681,46706,57688,80894,58690,81273,58634,121,2041,960,906,663,441,2969,120,1988,934,882,648,431,2915,152988,152515,220,6649,4068,1933,1098,936,6044,217,6478,3959,1876,1076,913,5920,166626,166370,531,28386,14219,5231,2334,2640,15978,523,27576,13816,5087,2279,2570,15570,165812,165783,1.32,1.86,-1.55,2025-02-24,Upstate NY,125227.0,311748.0,444720.0,516876.0,609301.0,7006.1,17490.2,24383.0,28244.0,32831.1,6533.6,17590.7,25226.8,29025.1,33645.1,6964.5,18623.0,26797.3,31830.3,37009.8,15810.6,25151.9,33202.0,36719.6,41976.3,54432.0,141355.0,199166.0,232570.0,276495.0,1008.0,1035.0,1053.0,1061.0,1044.0,13108.6,22927.5,30430.4,33840.5,38876.4,17219.3,42550.1,58232.0,66235.2,77145.9,12703.1,36372.4,53641.4,61828.8,73505.8,11640.0,34462.5,51063.6,60655.0,71797.1,6776.6,19011.9,28321.9,34452.4,42074.6,7194.2,21975.3,33159.1,38770.1,46689.0,11736.3,31953.0,47214.5,56207.7,67224.3,5631.5,15499.8,22463.1,26885.8,32273.8,2902.9,8139.4,10584.6,12181.6,14251.9,47685.0,128919.0,183175.0,213072.0,252095.0,23651.0,77490.0,119568.0,142812.0,171114.0,24035.0,51429.0,63607.0,70260.0,80981.0,9.0,1107.0,1107.0,1118.0,1121.0,1101.0,"6438 Basile Rowe, East Syracuse",10.16,17.5
135 W Main St,Honeoye Falls,NY,14472,,276.0,42.953605,-77.6017551,C,Monroe,Commercial,,LLD Enterprises,David Dworkin,5852443575.0,5854733555.0,,,No,"Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",01/01/1900,100-year and 500-year Floodplain,-2.83,-1.49,-1.22,-1.17,6697,7038,7010,6934,13949,14630,14216,14004,98434,113049,111669,110362,89876,111158,92214,110169,92512,89183,112040,91697,111445,92072,87267,115039,90106,115292,90061,0,686,640,327,242,98,118,0,680,630,322,238,96,117,239296,238809,4,1548,1331,714,472,217,290,4,1529,1305,698,461,213,285,233809,233218,192,11924,8474,4479,2644,2087,1684,191,11765,8343,4412,2614,2064,1654,225183,225201,0.1,-2.64,-1.39,2025-02-24,Upstate NY,14752.0,110949.0,436005.0,779181.0,920632.0,784.6,5031.1,21070.8,41181.6,47712.5,804.4,5933.1,22817.2,42330.0,50470.6,813.4,6180.5,24847.9,46605.7,55524.7,1036.4,9658.1,31111.2,53016.5,60845.0,6112.0,44730.0,197520.0,352354.0,415511.0,1061.0,1286.0,1178.0,1144.0,1134.0,666.8,8817.1,32014.1,52517.1,60193.6,943.7,11417.9,60730.4,105806.4,122492.3,1975.8,12543.2,53166.9,94846.1,111984.2,2107.0,13998.8,50637.4,92096.7,109950.1,1249.7,8306.6,31984.4,55013.8,64598.8,1184.3,7817.5,28318.5,52846.7,64184.2,1906.8,12499.2,46374.6,82920.7,100887.8,855.7,6070.0,22570.0,40799.0,49231.9,423.4,2676.1,10361.8,19200.7,22556.0,5898.0,42563.0,183834.0,328198.0,386944.0,4798.0,33014.0,114271.0,209003.0,254736.0,1099.0,9549.0,69562.0,119195.0,132208.0,64.0,1067.0,1346.0,1256.0,1224.0,1210.0,"1200 Marketplace Dr, Rochester",12.81,18.85
E Molloy Rd,Syracuse,NY,13211,6800000.0,84.636409,43.098297,-76.1005475,HI-TECH,Onondaga,"Commercial, Hospitality, Medical, Office Park, R&D",,JC Kelsen Real Estate Opportunities,Jeff Kelsen,3154473430.0,,,,Yes,The base floodplain where base flood elevations are provided. AE Zones are now used on new format FIRMs instead of A1-A30 Zones.,11/04/2016,100-year Floodplain,-2.86,-2.45,-2.23,-2.34,54684,53885,51400,49900,169292,174885,169890,165721,379703,391582,382867,373900,57017,71281,57851,71725,57819,53199,70343,54305,70825,54346,61686,83572,62570,83737,62256,14,6256,1114,622,165,271,5257,14,6056,1092,604,160,260,5096,125455,125512,149,16842,5392,1340,386,928,9253,147,16314,5245,1301,376,900,8993,146859,146861,741,41216,19438,6425,2483,3037,18090,729,40031,18891,6246,2432,2959,17656,167024,166987,-4.84,-1.76,-1.8,2025-02-24,Upstate NY,172753.0,387558.0,475243.0,531106.0,605014.0,8786.7,21745.3,26103.1,28980.3,32671.9,9382.7,22200.2,27054.8,29861.2,33747.8,10459.3,23397.6,29318.5,32575.5,37157.4,14781.7,29456.3,34291.9,37464.5,41673.4,80006.0,174213.0,212914.0,238400.0,273909.0,1007.0,1053.0,1062.0,1060.0,1046.0,13490.8,27131.1,31656.3,34591.5,38535.2,25955.8,52750.4,62048.8,68028.0,76463.0,20366.2,46934.1,57240.2,63790.6,72254.9,19209.9,44522.4,55518.8,62585.7,72221.9,10086.5,23618.1,31268.3,36147.4,42213.8,12308.6,27942.2,35274.5,40006.3,46088.2,16701.2,39560.8,50468.1,57535.7,66893.2,7861.5,19261.3,23780.9,27183.8,30969.5,3361.8,9038.1,11218.5,12355.0,14124.1,73211.0,160064.0,196235.0,218815.0,250043.0,39786.0,100335.0,128585.0,147735.0,171177.0,33425.0,59729.0,67651.0,71081.0,78865.0,5.0,1076.0,1117.0,1122.0,1121.0,1103.0,"6438 Basile Rowe, East Syracuse",4.44,12.32
976 NY-13,Williamstown,NY,13493,4315000.0,607.0,43.4430933,-75.9219228,,Oswego,Agribusiness,,"Brixwood, LLC",Jason Beck,5852042182.0,,,,No,"Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",06/18/2013,100-year and 500-year Floodplain,7.43,2.03,2.02,0.33,678,961,1045,1070,1777,2114,2271,2317,10763,10321,10529,10564,60523,63983,55588,63067,55142,59721,64457,56644,63572,56168,59385,69193,57499,68340,57115,0,87,42,22,0,20,151,0,89,43,22,0,21,154,111494,111798,0,203,86,36,0,41,345,0,208,89,37,0,42,352,105172,105769,5,1302,396,116,6,71,1501,5,1307,399,116,6,72,1507,115169,115226,8.55,7.31,2.12,2025-02-24,Upstate NY,2455.0,9775.0,36465.0,79322.0,176054.0,190.1,645.5,2031.7,4411.4,9243.2,150.5,569.4,1910.9,4607.6,9804.5,148.1,574.9,2077.0,5046.3,10985.6,203.9,699.1,2163.8,4457.6,9836.0,1576.0,5301.0,18447.0,38709.0,81617.0,948.0,972.0,899.0,952.0,1044.0,82.7,389.6,1827.9,3721.9,8867.0,312.3,1232.1,4339.8,9228.7,21135.5,236.0,1061.8,4206.9,9123.1,21080.4,393.3,1406.3,4800.6,10549.3,23538.3,209.9,821.4,3193.8,7030.0,14618.8,191.6,728.4,2854.3,6415.2,14495.6,207.1,1028.2,4648.9,9304.5,20128.5,118.7,490.2,1785.0,4053.3,9303.1,11.2,128.3,623.9,1373.4,3017.5,936.0,3941.0,15176.0,32173.0,71970.0,812.0,3405.0,12737.0,26722.0,59316.0,124.0,536.0,2439.0,5451.0,12654.0,233.0,944.0,993.0,996.0,998.0,1077.0,"8770 Dell Center Dr, Liverpool",40.78,42.25
8053 Oak Orchard Rd.,Batavia,NY,14020-1015,,100.0,43.0222267,-78.1872935,,Genesee,"Commercial, Industrial",,Mancuso Commercial Realty,Anthony Mancuso,5853435257.0,5853435550.0,,,No,,,,-2.81,-1.92,-2.38,-1.78,19004,18890,18173,17757,25118,24655,23963,23502,40740,39877,38927,38235,54049,70555,54898,71183,55155,56405,74180,58006,74935,58379,60995,77698,62153,78115,62226,25,1671,659,99,54,61,1603,23,1643,660,96,53,61,1553,128905,129914,28,2527,1022,194,95,70,2118,26,2494,1023,189,93,70,2062,135971,136748,81,4790,1817,310,186,136,3480,77,4724,1806,303,183,135,3399,140083,140527,-3.71,-2.78,-2.36,2025-02-24,Upstate NY,24071.0,39823.0,74529.0,160265.0,323613.0,1081.1,2014.9,3682.5,7966.9,16082.6,1265.0,2142.6,3871.5,8062.2,16995.2,1457.5,2510.5,4479.8,9267.5,18326.3,1204.9,2210.2,4182.3,9976.1,21245.0,11619.0,18174.0,32571.0,69604.0,139244.0,932.0,924.0,916.0,916.0,1025.0,1385.3,2192.9,4050.0,10081.2,19941.5,3126.0,5058.2,9483.4,20165.5,38644.5,2958.1,4770.0,9203.9,19227.5,38386.3,3099.9,4975.5,9323.3,19258.5,39119.9,1676.6,2880.1,5933.4,12944.7,25634.7,1614.0,3007.4,5875.1,12482.7,25388.9,2855.3,4635.4,8420.3,18474.0,38139.5,1512.5,2336.8,4220.8,8861.9,18108.2,835.0,1088.6,1803.2,3496.6,7600.2,11084.0,17320.0,30837.0,65179.0,130493.0,7098.0,12266.0,23341.0,48507.0,100327.0,3986.0,5054.0,7496.0,16672.0,30166.0,47.0,958.0,956.0,942.0,966.0,1074.0,"1200 Marketplace Dr, Rochester",32.42,33.57
345 Orton Rd,Pulaski,NY,13142-2592,1299000.0,467.0,43.600724,-76.094688,No zoning. Can apply.,Oswego,"Agribusiness, Agricultural, Apartment Units, Apartment Units - Senior, Auto Dealership, Commercial, Community Center, Contractor Storage Yard, Day Care Center, Fast Food, Food Processing, Garden Center, Golf Course/Driving Range, Health Care, Health Club, Hold for Development, Hold for Investment, Horse Stables, Industrial Live/Work Unit, Loft/Creative Space, Lumberyard, Manuftrd Hms/Mobl Hm Prk, Mixed Use, MultiFamily, Rehabilitation Center, Self-Storage, Single Family Development, Single Family Residence, Timberland, Trailer/Camper Park, Veterinarian/Kennel",Shapiroland Corp,Moet Properties LTD,Meira Shapiro,9177349097.0,,,,No,"Area of moderate flood hazard, usually the area between the limits of the 100-year and 500-year floods.",06/18/2013,100-year and 500-year Floodplain,0.04,0.0,2.65,0.34,3511,3322,3205,3183,7725,7453,7456,7456,16098,15284,15689,15742,57266,74168,51588,72467,50523,60027,75611,58676,74805,58382,62945,78204,64305,77854,64270,3,402,171,4,5,42,230,3,400,170,4,5,42,228,149378,149500,5,1022,418,76,10,71,585,5,1026,420,80,10,71,583,149755,150146,26,2151,840,231,69,131,1501,26,2169,849,240,68,132,1498,145258,145781,-4.04,0.49,3.29,2025-02-24,Upstate NY,8051.0,15050.0,29029.0,50283.0,110869.0,437.7,815.8,1535.5,2558.8,5618.6,377.7,814.0,1677.3,3020.9,6681.3,527.7,1036.8,1976.7,3364.3,6824.9,427.5,963.2,1833.3,3047.2,8075.4,4527.0,8361.0,15674.0,26253.0,54099.0,818.0,839.0,849.0,871.0,974.0,422.1,685.4,1322.9,2383.7,7219.1,1019.0,1772.9,3408.2,5834.8,13060.5,969.2,1871.7,3473.4,6095.0,12979.7,993.5,1823.4,3796.9,6598.4,13914.2,583.7,1183.0,2303.1,4142.5,8335.2,598.7,1127.4,2060.2,3746.7,8026.7,972.3,1759.1,3312.8,5682.9,12084.4,630.6,1004.5,1844.6,3030.1,5887.2,91.0,192.9,484.5,777.2,2161.7,3378.0,6132.0,11827.0,20372.0,44793.0,2375.0,4777.0,9471.0,16909.0,33556.0,1003.0,1356.0,2356.0,3463.0,11237.0,140.0,848.0,900.0,925.0,980.0,1053.0,"8770 Dell Center Dr, Liverpool",46.32,43.82
